"id","Y","X","SOC","BLD","CRFVOL","OCSKGM","meaERROR","OCSKGMlog"
"P0367",42.0469054239571,21.9390175710602,1.92656012356195,1.35489665582814,12.3681960663844,0.686233229942512,3.56,-0.376537723699233
"P0368",42.0275717077626,21.8826274210602,1.74677339901478,1.36849480174813,0.753284072249589,0.711733030468583,4.08,-0.340052395091238
"P0369",42.0207425675979,21.9712344473128,2.84466023121195,1.29516004385064,8.59566933704865,1.01028025823636,3.55,0.0102277757641098
"P0370",42.042995495039,22.0504369767921,1.66,1.38289958153237,9,0.626702432358841,3.78,-0.467283440541804
"P0371",42.0294163835916,22.0145759027634,1.47,1.41862893122789,7,0.581822283564494,3.96,-0.541590232581121
"P0372",42.0645208328015,22.0457772944912,2.1459259475844,1.31870874839612,5.65354382753557,0.800959330749538,3.73,-0.221945106299482
"P0373",42.0811702633536,22.0296617646511,1.70798627726953,1.37447408423745,13.7466802901532,0.607460448617471,3.56,-0.498468211043292
"P0374",42.0896254208424,21.9938372187101,2.32369839030478,1.27136947280293,14.1312655845252,0.761040647381075,3.28,-0.273068509431145
"P0375",42.1581359536046,22.0570464923909,1.48,1.41670247334945,13,0.547243831405424,3.7,-0.602860814629128
"P0376",42.1778013505978,22.0578339432735,3.95,1.06086739403696,16,1.05598740402439,2.68,0.0544762572057221
"P0377",42.2098213916899,22.0796587049813,1.53,1.40714813692348,41,0.381069786960249,2.49,-0.964772752753954
"P0378",42.2450993715858,22.0668702896854,1.27,1.45828909370319,26,0.411150027078679,3.24,-0.888797101704409
"P0379",42.1307987733884,22.0445324539379,1.9,1.34026094558948,8,0.702832839867124,3.7,-0.352636196573734
"P0380",42.035998760279,21.9568406547125,1.53092418437246,1.40755774066116,13.2140369209335,0.561035891080318,3.67,-0.577970398535615
"P0381",42.1687799919467,22.0771692289604,1.44,1.42443986921955,19,0.498439999037306,3.46,-0.696272059838883
"P0382",42.199081124965,22.0928801051336,1.24,1.46443018576285,3,0.528424988230667,4.26,-0.637854417083712
"P0383",42.2030143475386,22.1383701923045,0.9,1.53782521004847,17,0.344626629571862,3.83,-1.06529368111294
"P0384",42.2067724263381,22.1842501109639,1.94,1.33340882916336,28,0.558751635772615,2.88,-0.582050205501391
"P0385",42.2191080621434,22.1858977611363,1.36,1.44017101028388,15,0.49945130636645,3.67,-0.694245170397328
"P0386",42.2149691017097,22.219987225998,0.91,1.53556167983962,30,0.293445837017351,3.22,-1.22606219842243
"P0387",42.1769030762995,22.1457332611107,1.56454227620577,1.40801145206521,10.8946687567533,0.58886864956582,3.76,-0.529552126030574
"P0388",42.1811959340858,22.1735195693486,3.2155943393124,1.16139329340808,9.69814056804664,1.01171576426427,3.15,0.0116476660637004
"P0389",42.1893048081328,22.2413945888616,1.98,1.32662641958048,33,0.527970782464639,2.67,-0.638714333048196
"P0390",42.1746144012367,22.2666343472889,1.75024725741533,1.36700906676707,5.16448074084301,0.680711491170494,3.89,-0.384616717268497
"P0391",42.2390774367526,22.309227076162,0.93,1.53105455093472,10,0.384447797739708,4.13,-0.9559472658603
"P0392",42.2163513897285,22.3022534261256,0.64,1.59911264343912,22,0.239483109481443,3.74,-1.42927238870394
"P0393",42.2247354883928,22.1523032920536,0.59,1.61146305607497,18,0.233887747958721,3.96,-1.4529139883
"P0394",42.160380377835,22.0923348351145,1.2920555270113,1.44911608995559,0.437244804621056,0.559245525208833,4.33,-0.581166680058602
"P0395",42.1409791846547,22.0902955197952,4.24,1.0304788267433,42,0.76024605921814,1.8,-0.274113135972278
"P0396",42.1628278847244,22.1621190911232,2.03845799410042,1.31664752051836,0,0.805179199083944,3.95,-0.216690418779265
"P0397",42.1655834962393,22.199674283384,3.9,1.06628887625266,33,0.835863850094456,2.15,-0.179289537899048
"P0398",42.1670953147758,22.232863659157,7.14,0.801025045477076,24,1.30400469203304,1.84,0.265440061682835
"P0399",42.1178066792075,22.2197178673983,5.2636101008699,0.969518085444581,14.2579724072078,1.3126671909573,2.5,0.272061090957558
"P0400",42.1090955487967,22.1176439921183,2.58,1.23258305903923,25,0.715514465772273,2.77,-0.334753462478933
"P0401",42.0914569804367,22.1432874632168,5.37,0.927009043292109,36,0.955783403995896,1.78,-0.0452239564582802
"P0402",42.0559237318734,22.1437855071626,4.2,1.03456643720811,11,1.16016280268517,2.77,0.148560342412924
"P0403",42.0562419484882,22.2042104205753,3.3,1.13595118281598,18,0.922165170210017,2.8,-0.0810309280749931
"P0404",42.052512100081,22.2357672173923,3.0832496194825,1.17977330758492,14.3255961440893,0.934931082537505,3.03,-0.067282460926094
"P0405",42.0791030869125,22.2312675001108,7.20540538333832,0.798183547531054,29.9708107666766,1.20826318886835,1.69,0.189183947361814
"P0406",42.0245843187488,22.1317398076663,4.21,1.03354149741047,4,1.25314839478024,2.98,0.225659100489846
"P0407",42.0152480535274,22.1587520870531,1.82,1.35417864211979,14.4806721583079,0.632314121994063,3.47,-0.458368979841399
"P0409",42.0075924974295,22.2882080656074,4.91,0.966514987732451,9,1.29554568500621,2.64,0.258931984779735
"P0410",42.038356536,22.2738163687335,5.55,0.912415485690807,9,1.38244632314443,2.5,0.323854627725291
"P0411",42.0598094207152,22.2667421445631,7.7,0.768002626691864,28,1.27734196871391,1.67,0.24478133189305
"P0412",42.1231295726922,22.2529698987646,3.55608855233298,1.12126881936557,15.0096342779654,1.0166542140499,2.86,0.016517053400685
"P0414",42.1446728608167,22.3080058465404,4.91,0.966514987732451,25,1.06775743269742,2.18,0.0655605917991955
