"ProfID","HorID","top","bottom","SOC","BLD","CRF","SAND","SILT","CLAY"
"P0375","P0375H01",0,16,1.48,NA,13,47,29,26
"P0376","P0376H01",0,10,3.95,NA,16,82,10,8
"P0377","P0377H01",0,12,1.53,NA,41,89,8,3
"P0378","P0378H01",0,8,1.27,NA,26,84,6,10
"P0379","P0379H01",0,16,1.9,NA,8,42,21,36
"P0380","P0380H01",0,20,1.62,NA,14,40,19,42
"P0380","P0380H02",20,42,1.28,NA,11,38,22,40
"P0381","P0381H01",0,8,1.44,NA,19,78,14,9
"P0382","P0382H01",0,12,1.24,NA,3,75,23,6
"P0383","P0383H01",0,14,0.9,NA,17,84,14,2
"P0384","P0384H01",0,16,1.94,NA,28,92,7,1
"P0385","P0385H01",0,15,1.36,NA,15,90,10,0
"P0386","P0386H01",0,8,0.91,NA,30,91,9,0
"P0387","P0387H01",0,18,1.12,NA,14,73,14,13
"P0387","P0387H02",18,32,2.23,NA,6,48,26,26
"P0387","P0387H03",32,50,1.65,NA,3,37,28,35
"P0387","P0387H04",50,75,1.96,NA,5,66,25,10
"P0388","P0388H01",0,15,4.25,NA,10,53,18,28
"P0388","P0388H02",15,28,2.15,NA,9,58,14,28
"P0388","P0388H03",28,42,2.93,NA,14,50,18,32
"P0389","P0389H01",0,10,1.98,NA,33,93,4,3
"P0390","P0390H01",0,20,1.66,NA,4,73,18,9
"P0390","P0390H02",20,37,1.97,NA,8,68,23,8
"P0391","P0391H01",0,16,0.93,NA,10,72,24,4
"P0392","P0392H01",0,18,0.64,NA,22,56,18,17
"P0393","P0393H01",0,13,0.59,NA,18,90,7,3
"P0394","P0394H01",0,18,1.24,NA,0,40,31,28
"P0394","P0394H02",18,33,1.58,NA,1,44,28,29
"P0394","P0394H03",33,48,4.71,NA,1,66,23,11
"P0395","P0395H01",0,22,4.24,NA,42,59,17,25
"P0396","P0396H01",0,16,2.01,NA,0,93,7,1
"P0396","P0396H02",16,33,2.11,NA,0,98,1,1
